10;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
20;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
30;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
40;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
50;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
60;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
70;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
80;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
90;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
110;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
130;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
150;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
160;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
170;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
180;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
190;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
210;1000;SU;20230505;20230505;5;;;BérProjektSzakma;V bér;HUF
220;1000;SU;20230505;20230505;5;;;BérProjektGMIFPI;V bér;HUF
